Title,Link,Citations,Year,Category
The network contract: an instrument to contrast labour exploitation in agriculture. The Italian case,https://iris.unito.it/bitstream/2318/1827601/1/13566-Article%20Text-52952-1-10-20211221.pdf,3,2021,Article
What are the Risks to Minors who Work in the Construction Industry?,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10141679/,2,2021,Article
"Pandemic, lockdown and modern slavery among Sri Lanka's global assembly line workers",https://vc.bridgew.edu/cgi/viewcontent.cgi?article=2359&context=jiws,20,2021,Article
International Construction Law: The Development of the Business and Human Rights Treaty and its Implications on Migrant Workers,https://georgia-international-journal.scholasticahq.com/article/35565.pdf,0,2021,Article
Concept Environmental and Social Review Summary (ESRS)-Resilient and Sustainable Water in Agriculture-P175747,,0,2021,Review
Social Issues in Supply Chain Sustainability–Focus Areas for Energy and Manufacturing sectors in India and USA,http://ecsdev.org/ojs/index.php/ejsd/article/download/1186/1169,5,2021,Article
A Study of Discourse Strategies of Counter-Ideology Construction by Global Times Editorials in Response to the US-Western Actions on Human Rights …,,0,2021,Article
Book review: The Discursive Construction of Economic Inequality: CADS Approaches to the British Media by Eva M. Gómez-Jiménez and Michael Toolan,,0,2021,Review
"David Moon, The American Steppes: The Unexpected Russian Roots of Great Plains Agriculture, 1870s-1930s",https://pubs.lib.uiowa.edu/annals-of-iowa/article/id/31483/download/pdf/,0,2021,Article
Capitalism and unfree labor: a review of Marxist perspectives on modern slavery,https://eprints.whiterose.ac.uk/149433/22/Rioux%2C%20LeBaron%20and%20Verovsek%20-%20Capitalism%20and%20unfree%20labour.pdf,99,2020,Review
Making a global poverty chain: export footwear production and gendered labor exploitation in Eastern and Central Europe,https://sussex.figshare.com/articles/journal_contribution/Making_a_global_poverty_chain_export_footwear_production_and_gendered_labor_exploitation_in_Eastern_and_Central_Europe/23470463/1/files/41179088.pdf,36,2020,Article
"An analytical study of child labour in the agriculture sector of the rural areas of central Punjab, Pakistan",https://dl.nsf.gov.lk/bitstream/handle/1/25162/SLJSS_43_1_21.pdf?sequence=2,16,2020,Article
"The North Korean Workers in Russia: problematizing the"" forced labor"" discourse",https://muse.jhu.edu/article/748244/pdf,8,2020,Article
Traceability in the construction supply chain,https://repository.lboro.ac.uk/articles/thesis/Traceability_in_the_construction_supply_chain/14754492/1/files/28353285.pdf,0,2020,Article
